Index,ticker,industry
202,FOXA,Movies & Entertainment
203,FOX,Movies & Entertainment
204,BEN,Asset Management & Custody Banks
205,FCX,Copper
206,GPS,Apparel Retail
207,GRMN,Consumer Electronics
208,IT,IT Consulting & Other Services
209,GD,Aerospace & Defense
210,GE,Industrial Conglomerates
211,GIS,Packaged Foods & Meats
212,GM,Automobile Manufacturers
213,GPC,Specialty Stores
214,GILD,Biotechnology
215,GL,Life & Health Insurance
216,GPN,Data Processing & Outsourced Services
217,GS,Investment Banking & Brokerage
218,GWW,Industrial Machinery
219,HAL,Oil & Gas Equipment & Services
220,HBI,"Apparel, Accessories & Luxury Goods"
221,HIG,Property & Casualty Insurance
222,HAS,Leisure Products
223,HCA,Health Care Facilities
224,PEAK,Health Care REITs
225,HSIC,Health Care Distributors
226,HSY,Packaged Foods & Meats
227,HES,Integrated Oil & Gas
228,HPE,"Technology Hardware, Storage & Peripherals"
229,HLT,"Hotels, Resorts & Cruise Lines"
230,HFC,Oil & Gas Refining & Marketing
231,HOLX,Health Care Equipment
232,HD,Home Improvement Retail
233,HON,Industrial Conglomerates
234,HRL,Packaged Foods & Meats
235,HST,Hotel & Resort REITs
236,HWM,Aerospace & Defense
237,HPQ,"Technology Hardware, Storage & Peripherals"
238,HUM,Managed Health Care
239,HBAN,Regional Banks
240,HII,Aerospace & Defense
241,IEX,Industrial Machinery
242,IDXX,Health Care Equipment
243,INFO,Research & Consulting Services
244,ITW,Industrial Machinery
245,ILMN,Life Sciences Tools & Services
246,INCY,Biotechnology
247,IR,Industrial Machinery
248,INTC,Semiconductors
249,ICE,Financial Exchanges & Data
250,IBM,IT Consulting & Other Services
251,IP,Paper Packaging
252,IPG,Advertising
253,IFF,Specialty Chemicals
254,INTU,Application Software
255,ISRG,Health Care Equipment
256,IVZ,Asset Management & Custody Banks
257,IPGP,Electronic Manufacturing Services
258,IQV,Life Sciences Tools & Services
259,IRM,Specialized REITs
260,JKHY,Data Processing & Outsourced Services
261,J,Construction & Engineering
262,JBHT,Trucking
263,SJM,Packaged Foods & Meats
264,JNJ,Pharmaceuticals
265,JCI,Building Products
266,JPM,Diversified Banks
267,JNPR,Communications Equipment
268,KSU,Railroads
269,K,Packaged Foods & Meats
270,KEY,Regional Banks
271,KEYS,Electronic Equipment & Instruments
272,KMB,Household Products
273,KIM,Retail REITs
274,KMI,Oil & Gas Storage & Transportation
275,KLAC,Semiconductor Equipment
276,KHC,Packaged Foods & Meats
277,KR,Food Retail
278,LB,Apparel Retail
279,LHX,Aerospace & Defense
280,LH,Health Care Services
281,LRCX,Semiconductor Equipment
282,LW,Packaged Foods & Meats
283,LVS,Casinos & Gaming
284,LEG,Home Furnishings
285,LDOS,IT Consulting & Other Services
286,LEN,Homebuilding
287,LLY,Pharmaceuticals
288,LNC,Multi-line Insurance
289,LIN,Industrial Gases
290,LYV,Movies & Entertainment
291,LKQ,Distributors
292,LMT,Aerospace & Defense
293,L,Multi-line Insurance
294,LOW,Home Improvement Retail
295,LUMN,Alternative Carriers
296,LYB,Specialty Chemicals
297,MTB,Regional Banks
